SampleId	afterTrimGal
44-N_S81_L003_R2_001.T1.fq.unpaired_trimmed	41910
44-N_S81_L003_R2_001.T1_unpaired_2	180807
44-O_S73_L003_R1_001.T1.fq.unpaired_trimmed	12118281
44-O_S73_L003_R1_001.T1_unpaired_1	149598
44-O_S73_L003_R2_001.T1.fq.unpaired_trimmed	39228
44-O_S73_L003_R2_001.T1_unpaired_2	176323
44-P_S93_L003_R1_001.T1.fq.unpaired_trimmed	9908968
44-P_S93_L003_R1_001.T1_unpaired_1	246304
44-P_S93_L003_R2_001.T1.fq.unpaired_trimmed	79772
44-P_S93_L003_R2_001.T1_unpaired_2	387348
50-A_S38_L003_R1_001.T1.fq.unpaired_trimmed	10840785
50-A_S38_L003_R1_001.T1_unpaired_1	181568
50-A_S38_L003_R2_001.T1.fq.unpaired_trimmed	51790
50-A_S38_L003_R2_001.T1_unpaired_2	243347
50-B_S70_L003_R1_001.T1.fq.unpaired_trimmed	12886003
50-B_S70_L003_R1_001.T1_unpaired_1	173645
50-B_S70_L003_R2_001.T1.fq.unpaired_trimmed	64947
50-B_S70_L003_R2_001.T1_unpaired_2	266294
50-C_S45_L003_R1_001.T1.fq.unpaired_trimmed	10787079
50-C_S45_L003_R1_001.T1_unpaired_1	160887
50-C_S45_L003_R2_001.T1.fq.unpaired_trimmed	49380
50-C_S45_L003_R2_001.T1_unpaired_2	231827
50-D_S119_L003_R1_001.T1.fq.unpaired_trimmed	10493971
50-D_S119_L003_R1_001.T1_unpaired_1	168364
50-D_S119_L003_R2_001.T1.fq.unpaired_trimmed	100850
50-D_S119_L003_R2_001.T1_unpaired_2	575446
50-E_S10_L003_R1_001.T1.fq.unpaired_trimmed	13804812
50-E_S10_L003_R1_001.T1_unpaired_1	174665
50-E_S10_L003_R2_001.T1.fq.unpaired_trimmed	63177
50-E_S10_L003_R2_001.T1_unpaired_2	274585
50-F_S62_L003_R1_001.T1.fq.unpaired_trimmed	10427259
50-F_S62_L003_R1_001.T1_unpaired_1	171993
50-F_S62_L003_R2_001.T1.fq.unpaired_trimmed	46015
50-F_S62_L003_R2_001.T1_unpaired_2	211857
